Name                                                            ResourceGroup         Location
--------------------------------------------------------------  --------------------  -------------
privatelink.openai.azure.com                                    rg-nshop-dev-network  global
privatelink.database.windows.net                                rg-nshop-dev-network  global
privatelink.vaultcore.azure.net                                 rg-nshop-dev-network  global
privatelink.blob.core.windows.net                               rg-nshop-dev-network  global
ag-nshop-dev-cost                                               rg-nshop-dev-monitor  global
ag-nshop-dev-operational                                        rg-nshop-dev-monitor  global
ag-nshop-dev-security                                           rg-nshop-dev-monitor  global
log-nshop-dev                                                   rg-nshop-dev-monitor  swedencentral
alert-dev-service-health                                        rg-nshop-dev-monitor  global
alert-dev-high-impact-changes                                   rg-nshop-dev-monitor  global
alert-dev-resource-health                                       rg-nshop-dev-monitor  global
appi-nshop-dev                                                  rg-nshop-dev-monitor  swedencentral
sql-nshop-dev-sdc-72hfug                                        rg-nshop-dev-sdc      swedencentral
nsg-nshop-dev-sdc-app                                           rg-nshop-dev-network  swedencentral
nsg-nshop-dev-sdc-pe                                            rg-nshop-dev-network  swedencentral
kv-nshop-dev-sdc-72hfug                                         rg-nshop-dev-sdc      swedencentral
stnshopdevsdc72hfug                                             rg-nshop-dev-sdc      swedencentral
asp-nshop-dev-sdc                                               rg-nshop-dev-sdc      swedencentral
vnet-nshop-dev-sdc                                              rg-nshop-dev-network  swedencentral
app-nshop-dev-api-sdc-arepj                                     rg-nshop-dev-sdc      swedencentral
sql-nshop-dev-sdc-72hfug/master                                 rg-nshop-dev-sdc      swedencentral
pe-nshop-dev-blob-sdc                                           rg-nshop-dev-network  swedencentral
sql-nshop-dev-sdc-72hfug/sqldb-orders                           rg-nshop-dev-sdc      swedencentral
pe-nshop-dev-blob-sdc.nic.d2e8ef9c-9c3f-49c7-a891-da4a1c01ddc9  rg-nshop-dev-network  swedencentral
pe-nshop-dev-kv-sdc                                             rg-nshop-dev-network  swedencentral
pe-nshop-dev-kv-sdc.nic.cd726246-2fec-4a3a-a24e-cb514e50e98b    rg-nshop-dev-network  swedencentral
pe-nshop-dev-sql-sdc                                            rg-nshop-dev-network  swedencentral
pe-nshop-dev-sql-sdc.nic.b61db79f-23f4-404d-a74c-bf1c75a3894e   rg-nshop-dev-network  swedencentral
webtest-nshop-dev-readiness                                     rg-nshop-dev-monitor  swedencentral
alert-webtest-nshop-dev-readiness-availability                  rg-nshop-dev-monitor  global
privatelink.vaultcore.azure.net/link-vnet-nshop-dev-sdc         rg-nshop-dev-network  global
privatelink.blob.core.windows.net/link-vnet-nshop-dev-sdc       rg-nshop-dev-network  global
privatelink.openai.azure.com/link-vnet-nshop-dev-sdc            rg-nshop-dev-network  global
privatelink.database.windows.net/link-vnet-nshop-dev-sdc        rg-nshop-dev-network  global
alert-dev-storage-1-availability                                rg-nshop-dev-monitor  global
alert-dev-webapp-1-health                                       rg-nshop-dev-monitor  global
alert-dev-sql-1-connections                                     rg-nshop-dev-monitor  global
alert-dev-sql-1-cpu                                             rg-nshop-dev-monitor  global
alert-dev-sql-1-storage                                         rg-nshop-dev-monitor  global
alert-dev-webapp-1-5xx                                          rg-nshop-dev-monitor  global
alert-dev-app-plan-1-cpu                                        rg-nshop-dev-monitor  global
alert-dev-keyvault-1-failures                                   rg-nshop-dev-monitor  global
alert-dev-keyvault-1-availability                               rg-nshop-dev-monitor  global
Application Insights Smart Detection                            rg-nshop-dev-monitor  global
Failure Anomalies - appi-nshop-dev                              rg-nshop-dev-monitor  global
